Brand,Product,Deal Price,Promotion Effectivity,Aisle,Grocery Store
"
                        Knorr
                    ","Creamy Bacon Carbonara Pasta, Sidekicks",$1.65 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
",Chicken Leg Quarters,$3.19 avg.,"
Valid until Dec 6, 2023
",meat-poultry,Super C
"
                        Habitant
                    ",Garden Style Vegetable Pea Soup,$2.00 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
",Tropical Gold Pineapple,$1.77 ea.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        Leclerc
                    ","Maple Leaf Cream Cookies, Célébration",$2.22 ea.,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Haiku
                    ",Premium Coconut Milk,$2.49 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Caprice des Dieux
                    ",Soft Cheese,$6.99 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
",White Vienna rolls,$2.99 ea.,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
                        Vachon
                    ",Vanilla Flavoured 1/2 Moon™ Cakes,$3.77 ea.,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Selection
                    ",Frozen Pork for Fondue,$5.99 ea.,"
Valid until Dec 6, 2023
",meat-poultry,Super C
"
                        Red Bull
                    ",Energy Drink,$2.29 ea.,"
Valid until Jan 3, 2024
",beverages,Super C
"
                        Triscuit
                    ",Sea Salt Original Seasoned Crackers,2 /$5.00,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Irresistibles
                    ","Frozen Thin Crust Margherita Pizza, Gusto Italiano",$3.33 ea.,"
Valid until Dec 6, 2023
",frozen,Super C
"
                        San Pellegrino
                    ",Carbonated Natural Mineral Water,$1.99 ea.,"
Valid until Dec 6, 2023
",beverages,Super C
"
                        Leclerc
                    ",Café Au Lait Wafer Cookies with a Milk Chocolate Coa...,$2.22 ea.,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Red Bull
                    ","Energy Drink, Blueberry",$2.29 ea.,"
Valid until Jan 3, 2024
",beverages,Super C
"
                        Tropicana
                    ",Homestyle Orange Juice with Some Pulp,$6.99 ea.,"
Valid until Dec 6, 2023
",beverages,Super C
"
                        Leclerc
                    ","Butter Cookies Topped with 70% Cocoa Dark Chocolate,...",$2.22 ea.,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Irresistibles
                    ",Frozen Angus Beef Meatballs,$9.99 ea.,"
Valid until Dec 6, 2023
",frozen,Super C
"
                        Earth's Own
                    ",Original Flavour Unsweetened Fortified Almond Bevera...,2 /$7.00,"
Valid until Dec 6, 2023
",beverages,Super C
"
                        Vachon
                    ",Passion Flakie® Apple-Raspberry Flaky Pastries,$3.77 ea.,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Primo
                    ",Canned Red Kidney Beans,3 /$5.00,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Minute Rice
                    ",Pre-Cooked Long Grain White Rice,$5.99 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Kraft
                    ",Original Bbq Sauce,$1.99 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Primo
                    ",Chickpeas (Garbanzo Beans),3 /$5.00,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Irresistibles
                    ","Frozen Bacon, Ham, Mozzarella and Cheddar Cheese Pizza",$3.33 ea.,"
Valid until Dec 6, 2023
",frozen,Super C
"
                        iÖGO
                    ",0% Berry Flavoured Yogurt Variety Pack,$5.46 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Irresistibles
                    ","Goat's Milk Cheese, Artisan",$6.99 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Tostitos
                    ","Multigrain Tortilla Chips, Scoops",3 /$10.00,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Diana
                    ",Gourmet Original Bbq Sauce,$2.99 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Première Moisson
                    ",Sprouted Grain Loaf,$4.99 ea.,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
                        Vachon
                    ",Fruit Jelly Rolled Cakes with Coconut,$3.77 ea.,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        St-Hubert
                    ",Frozen Meat Pie,$10.99 ea.,"
Valid until Dec 6, 2023
",frozen,Super C
"
",Wrapped Broccoli Crown,$1.99 ea.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        Selection
                    ",Mini Pita Breads,$2.00 ea.,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
                        Fresh Attitude
                    ",Spring Mix and Spinach Half & Half Salad Mix,Check Website for Promotion Price,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        Diana
                    ",Gourmet Rib and Chicken Bbq Sauce,$2.99 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Pom
                    ",12 Grain Sliced Bagels,2 /$6.00,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
                        Irresistibles
                    ","Frozen Italian Style Deli Thin Crust Pizza, Gusto It...",$3.33 ea.,"
Valid until Dec 6, 2023
",frozen,Super C
"
                        Earth's Own
                    ",Unsweetened Vanilla Flavoured Fortified Almond Bever...,2 /$7.00,"
Valid until Dec 6, 2023
",beverages,Super C
"
",Mango,$1.49 ea.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        Kraft
                    ","Velveeta Processed Cheese, Velveeta",$5.47 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Toblerone
                    ",Swiss Milk Chocolate Bar with Honey and Almond Nougat,$9.99 ea.,"
Valid until Jan 3, 2024
",snacks,Super C
"
                        Pom
                    ",Sliced plain bagels,2 /$6.00,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
                        St-Méthode
                    ",Homestyle White Loaf,2 /$8.58,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
                        Knorr
                    ","Fettuccine Alfredo, Sidekicks",$1.65 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Leclerc
                    ","Vanilla Wafer Cookies with a Milk Chocolate Coating,...",$2.22 ea.,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Irresistibles
                    ",Frozen Wild Smoked Sockeye Salmon Slices,$9.99 ea.,"
Valid until Dec 6, 2023
",fish-seafood,Super C
"
                        Habitant
                    ",Traditional Minestrone Soup,$2.00 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Irresistibles
                    ","Frozen Spinach Thin Crust Pizza, Gusto Italiano",$3.33 ea.,"
Valid until Dec 6, 2023
",frozen,Super C
"
                        Haiku
                    ",Light Premium Coconut Milk,$2.49 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Irresistibles
                    ",Frozen Tempura Shrimp,2 /$18.98,"
Valid until Dec 6, 2023
",frozen,Super C
"
                        Primo
                    ",Canned Black Beans,3 /$5.00,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Renée's Gourmet
                    ",Caesar Dressing and Dip,$4.99 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Kellogg's
                    ","Original Bars, Rice Krispies Squares",$3.00 ea.,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Irresistibles
                    ",Frozen Italian Style Pork and Beef Meatballs,$9.99 ea.,"
Valid until Dec 6, 2023
",frozen,Super C
"
                        Pom
                    ",60% whole wheat English Muffins,2 /$6.00,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
                        Irresistibles
                    ","Frozen Mascarpone Mushroom Thin Crust Pizza, Gusto I...",$3.33 ea.,"
Valid until Dec 6, 2023
",frozen,Super C
"
                        Knorr
                    ","Butter and Herb Pasta, Sidekicks",$1.65 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Triscuit
                    ",Orginal Crispy Crackers,2 /$5.00,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        General Mills
                    ","Oats Cereal Value Pack, Cheerios",$5.47 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Ritz
                    ",Cheese Flavoured Sandwich Crackers,2 /$5.00,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Dare
                    ","Chocolate Covered Marshmallow Strawberry Cookies, Wh...",$1.49 ea.,"
Valid until Dec 31, 2050
",snacks,Super C
"
                        Oikos
                    ",0% Plain Greek Yogurt,$5.46 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Primo
                    ",Penne Rigate,3 /$5.00,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Triscuit
                    ",Low Sodium Crackers,2 /$5.00,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Primo
                    ",Rotini,3 /$5.00,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Vachon
                    ","Three Fruits Flaky Pastries, Passion Flakie",$3.77 ea.,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Selection
                    ","10"" Whole Wheat Tortillas",$2.99 ea.,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
                        Irresistibles
                    ",Frozen Battered Mozzarella Cheese Sticks with Marina...,2 /$11.98,"
Valid until Dec 6, 2023
",frozen,Super C
"
                        Première Moisson
                    ",Old-Fashioned Belgian Loaf,$4.99 ea.,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
                        Kraft
                    ",Rancher'S Choice Dressing,$2.99 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Kraft
                    ",Chicken'N Rib Bbq Sauce,$1.99 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Pom
                    ",Everything sliced bagels,2 /$6.00,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
                        Tostitos
                    ",Hint of Jalapeño Flavoured Tortilla Chips,3 /$10.00,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Lactantia
                    ",35% Old Fashioned Cream,$3.99 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Sealtest
                    ",4% Cottage Cheese,$3.00 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Leclerc
                    ","Finger Cookies in a Milk Chocolate Coating, Célébration",$2.22 ea.,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Irresistibles
                    ","Double Cream Brie Cheese, Artisan",$6.99 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Irresistibles
                    ","Frozen Quattro Formaggi Thin Crust Pizza, Gusto Ital...",$3.33 ea.,"
Valid until Dec 6, 2023
",frozen,Super C
"
                        Oikos
                    ",2% Plain Greek Yogurt,$5.46 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Crave
                    ",Frozen Smokey BBQ Angus Beef,$2.99 ea.,"
Valid until Dec 6, 2023
",frozen,Super C
"
                        Première Moisson
                    ","Raisins, Hazelnut and Honey Sourdough Loaf",$4.99 ea.,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
                        Roma
                    ",Mild Italian Sausages,$5.99 ea.,"
Valid until Dec 6, 2023
",meat-poultry,Super C
"
                        Maxwell House
                    ",Original Roast Instant Coffee,$2.99 ea.,"
Valid until Dec 6, 2023
",beverages,Super C
"
                        Leclerc
                    ","Butter Cookies Topped with 45% Cocoa Dark Chocolate,...",$2.22 ea.,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Purina One
                    ",Salmon and Rice Adult Dry Cat Food,$11.99 ea.,"
Valid until Dec 13, 2023
",pet-care,Super C
"
                        Earth's Own
                    ","Original Flavour Fortified Almond Beverage, So Fresh",2 /$7.00,"
Valid until Dec 6, 2023
",beverages,Super C
"
                        Primo
                    ",Fusilli,3 /$5.00,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Kellogg's
                    ","Strawberry Cereal Bars, Nutri-Grain",$3.00 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Kraft
                    ",Creamy Caesar Dressing,$2.99 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Saputo
                    ",Mozzarellissima™ Pizza Mozzarella,$4.88 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Wong Wing
                    ",Frozen Won Ton Soup,$3.99 ea.,"
Valid until Dec 6, 2023
",frozen,Super C
"
                        Irresistibles
                    ","Frozen Spicy Salami Thin Crust Pizza, Gusto Italiano",$3.33 ea.,"
Valid until Dec 6, 2023
",frozen,Super C
"
                        Pom
                    ",Cinnamon and raisin sliced bagels,2 /$6.00,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
",Cubanelle Pepper,$0.66 avg.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        Kellogg's
                    ","Raspberry Cereal Bars, Nutrigrain",$3.00 ea.,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Tostitos
                    ",Hint of Roasted Garlic Flavoured Tortilla Chips,3 /$10.00,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Tropicana
                    ",Grovestand® Orange Juice with Lots of Pulp,$6.99 ea.,"
Valid until Dec 6, 2023
",beverages,Super C
"
                        Knorr
                    ","Chicken Pasta, Sidekicks",$1.65 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Jell-O
                    ",Strawberry Jelly Powder,$0.99 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
